Language,Gloss,LexicalClass,Handshape,SelectedFingers.2.0,Flexion.2.0,Spread.2.0,ThumbPosition.2.0,sign type,Movement,Location,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape,UlnarRotation.2.0,Handshape change,SignTypeM2.2.0,MovementM2.2.0,RepeatedMovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency
ASL,grenade,n,1,imrp,FullyClosed,NA,Closed,AsymmetricalSameHandshape,Straight,Hand,FingerRadial,HandAway,1,1,0,1,AsymmetricalSameHandshape,Straight,NA,Neutral,Neutral,Neutral,0,s,0,0.059,0.25,0.035,0.155,0.457
ASL,earthquake,n,13,m,Flat,NA,Open,AsymmetricalDifferentHandshape,None,Hand,PalmBack,NA,1,1,1,1,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,s,0,0.175,0.25,0.024,0,0.153
ASL,loud,adv,7,i,FullyOpen,NA,Closed,SymmetricalOrAlternating,None,Head,Other,NA,1,7,0,1,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,s,0,0.345,0.266,0.025,0,0.153
ASL,linguistics,n,8,i,FullyOpen,NA,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,8,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.457
ASL,workshop,n,38,p,Curved,NA,Open,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,1,38,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.233
ASL,silver,n,1,imrp,FullyClosed,NA,Closed,OneHanded,None,Head,Other,NA,1,NA,0,1,OneHanded,None,NA,Neutral,Neutral,NA,0,NA,1,0.392,0.266,0.025,0,0.153
ASL,shakespeare,n,1,imrp,FullyClosed,NA,Closed,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,1,OneHanded,Straight,NA,Neutral,Neutral,Neutral,0,NA,0,0.392,0.363,0.363,0.426,0.457
ASL,homework,n,2,imrp,Curved,0,Open,OneHanded,Curved,Head,Chin,CheekNose,1,NA,0,1,AsymmetricalSameHandshape,Straight,NA,Hand,PalmBack,NA,1,s,0,0.392,0.266,0.037,0.008,0.233
ASL,blow_mind,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,1,SymmetricalOrAlternating,Straight,NA,Head,HeadAway,HeadAway,1,s,0,0.392,0.266,0.039,0,0.153
ASL,brainstorm,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,1,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,s,0,0.392,0.266,0.039,0,0.153
ASL,head_grind,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,1,AsymmetricalDifferentHandshape,Circular,NA,Hand,Palm,Palm,1,B,0,0.392,0.266,0.039,0,0.153
ASL,think_expand,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,1,SymmetricalOrAlternating,Straight,NA,Head,HeadAway,HeadAway,0,s,0,0.392,0.266,0.039,0,0.153
ASL,true_business,adj,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Mouth,HeadAway,1,NA,0,1,AsymmetricalSameHandshape,BackAndForth,NA,Hand,FingerRadial,HandAway,1,s,0,0.392,0.266,0.046,0.178,0.153
ASL,high_school,n,19,im,FullyOpen,0,Closed,OneHanded,None,Neutral,Neutral,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153
ASL,noose,n,24,i,Curved,NA,Open,OneHanded,None,Body,Neck,NA,1,NA,0,1,OneHanded,Straight,NA,Body,BodyAway,BodyAway,0,NA,0,0.392,0.094,0.006,0,0.153
ASL,bullshit,adj,48,imrp,FullyOpen,0,Closed,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457
ASL,office,n,2,imrp,Curved,0,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,NA,0,2,0,2,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,NA,0,o,0,0.345,0.363,0.363,0,0.457
ASL,stethoscope,n,25,i,Bent,NA,Open,SymmetricalOrAlternating,None,Head,Other,NA,1,25,0,2,OneHanded,None,NA,Body,Clavicle,NA,1,NA,0,0.345,0.266,0.025,0,0.153
ASL,hamburger,n,54,imrp,Curved,0,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,1,54,0,2,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,1,o,0,0.345,0.363,0.363,0.426,0.457
ASL,so,minor,1,imrp,FullyClosed,NA,Closed,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457
ASL,home,adv,2,imrp,Curved,0,Open,OneHanded,Straight,Head,Chin,NA,1,NA,0,2,OneHanded,Straight,NA,Head,CheekNose,NA,1,NA,0,0.392,0.266,0.037,0,0.457
ASL,faint,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,2,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,o,0,0.392,0.266,0.039,0,0.153
ASL,zoo,n,7,i,FullyOpen,NA,Closed,OneHanded,Z-shaped,Neutral,Neutral,Neutral,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.034
ASL,lamp_2,n,14,m,Curved,NA,Open,OneHanded,None,Head,Chin,NA,1,NA,0,2,OneHanded,Straight,0,Neutral,Neutral,Neutral,0,NA,0,0.392,0.266,0.037,0,0.153
ASL,will_go,v,49,imrp,FullyOpen,0,Open,OneHanded,Straight,Head,CheekNose,HeadAway,0,NA,0,2,OneHanded,Straight,NA,Neutral,Neutral,Neutral,0,NA,0,0.392,0.266,0.035,0.178,0.457
ASL,pass_out,v,64,im,Stacked,NA,Open,OneHanded,Straight,Head,HeadAway,HeadAway,0,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.266,0.066,0.178,0.457
ASL,racecar_track,n,1,imrp,FullyClosed,NA,Closed,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,1,0,3,SymmetricalOrAlternating,None,1,Neutral,Neutral,NA,1,a,1,0.345,0.363,0.363,0.426,0.457
ASL,refrigerator,n,3,t,NA,NA,Open,SymmetricalOrAlternating,Straight,Body,BodyAway,BodyAway,0,3,0,3,AsymmetricalSameHandshape,Curved,1,Hand,FingerBack,HandAway,1,a,0,0.345,0.094,0.016,0.045,0.457
ASL,pharmacist,n,13,m,Flat,NA,Open,AsymmetricalDifferentHandshape,Straight,Hand,Palm,NA,1,49,0,3,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,a,0,0.175,0.25,0.077,0,0.457
ASL,chew_4,v,57,imrp,FullyOpen,1,Open,SymmetricalOrAlternating,Straight,Head,Mouth,NA,1,57,0,3,AsymmetricalSameHandshape,Straight,1,Hand,FingerBack,FingerBack,1,a,0,0.345,0.266,0.046,0,0.457
ASL,cameraman,n,25,i,Bent,NA,Open,DominanceViolation,Circular,Head,HeadAway,HeadAway,0,DominanceConditionViolation,1,3,OneHanded,None,0,Head,Forehead,NA,1,NA,0,0.023,0.266,0.066,0.178,0.076
ASL,envelope_2,n,3,t,NA,NA,Open,OneHanded,None,Head,Mouth,NA,1,NA,0,3,AsymmetricalDifferentHandshape,Curved,0,Hand,FingerFront,NA,1,B,0,0.392,0.266,0.046,0,0.153
ASL,envelope_5,n,3,t,NA,NA,Open,OneHanded,None,Head,Mouth,NA,1,NA,0,3,AsymmetricalDifferentHandshape,Curved,0,Hand,FingerFront,NA,1,B,0,0.392,0.266,0.046,0,0.153
ASL,hide,v,3,t,NA,NA,Open,OneHanded,None,Head,Mouth,NA,1,NA,0,3,AsymmetricalDifferentHandshape,None,0,Hand,Palm,NA,1,B,0,0.392,0.266,0.046,0,0.153
ASL,letter,n,3,t,NA,NA,Open,OneHanded,None,Head,Mouth,NA,1,NA,0,3,AsymmetricalDifferentHandshape,None,0,Hand,FingerBack,NA,1,A,0,0.392,0.266,0.046,0,0.153
ASL,mail,n,3,t,NA,NA,Open,OneHanded,None,Head,Mouth,NA,1,NA,0,3,AsymmetricalDifferentHandshape,None,0,Hand,FingerTip,NA,1,B,0,0.392,0.266,0.046,0,0.153
ASL,mailman,n,3,t,NA,NA,Open,OneHanded,None,Head,Mouth,NA,1,NA,0,3,AsymmetricalSameHandshape,None,0,Hand,FingerFront,NA,1,a,0,0.392,0.266,0.046,0,0.153
ASL,remember,v,3,t,NA,NA,Open,OneHanded,None,Head,Forehead,NA,1,NA,0,3,AsymmetricalSameHandshape,None,0,Hand,FingerBack,NA,1,a,0,0.392,0.266,0.039,0,0.153
ASL,brainwash,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,3,AsymmetricalSameHandshape,Circular,1,Hand,FingerBack,FingerBack,1,a,0,0.392,0.266,0.039,0,0.153
ASL,chew_1,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Mouth,NA,1,NA,0,3,AsymmetricalSameHandshape,Circular,1,Hand,FingerBack,FingerBack,1,a,0,0.392,0.266,0.046,0,0.153
ASL,haha,minor,31,im,Curved,0,Open,OneHanded,None,Neutral,Neutral,NA,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153
ASL,why_not,minor,49,imrp,FullyOpen,0,Open,OneHanded,None,Head,HeadAway,NA,0,NA,0,3,OneHanded,Straight,0,Head,UnderChin,HeadAway,1,NA,0,0.392,0.266,0.066,0,0.153
ASL,cancer_1,n,54,imrp,Curved,0,Open,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457
ASL,one_year_ago,num,25,i,Bent,NA,Open,AsymmetricalDifferentHandshape,Straight,Hand,FingerRadial,NA,1,1,0,7,AsymmetricalDifferentHandshape,Curved,NA,Body,BodyAway,BodyAway,0,S,0,0.175,0.25,0.035,0,0.457
ASL,anyone,minor,3,t,NA,NA,Open,OneHanded,Curved,Neutral,Neutral,Neutral,0,NA,1,7,OneHanded,None,NA,Neutral,Neutral,NA,0,NA,0,0.392,0.363,0.363,0.426,0.233
ASL,agreement,n,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,7,SymmetricalOrAlternating,Curved,NA,Neutral,Neutral,Neutral,0,1,1,0.392,0.266,0.039,0,0.153
ASL,crazy,adj,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,0,NA,0,7,OneHanded,Circular,NA,Head,HeadAway,HeadAway,0,NA,1,0.392,0.266,0.039,0,0.153
ASL,disagreement,n,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,7,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,1,0,0.392,0.266,0.039,0,0.153
ASL,dont_mind,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,CheekNose,NA,1,NA,0,7,OneHanded,None,NA,Neutral,Neutral,NA,0,NA,0,0.392,0.266,0.035,0,0.153
ASL,not_mind,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,CheekNose,NA,1,NA,0,7,OneHanded,None,NA,Neutral,Neutral,NA,0,NA,0,0.392,0.266,0.035,0,0.153
ASL,think_over,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,0,NA,0,7,AsymmetricalSameHandshape,Circular,NA,Head,HeadAway,HeadAway,0,1,0,0.392,0.266,0.039,0,0.153
ASL,think_penetrate,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,7,AsymmetricalDifferentHandshape,Straight,NA,Hand,Other,Other,1,5,0,0.392,0.266,0.039,0,0.153
ASL,thought_disappear,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,7,AsymmetricalDifferentHandshape,Straight,NA,Hand,Other,HandAway,1,5,0,0.392,0.266,0.039,0,0.153
ASL,to_a_goal,adv,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,7,AsymmetricalSameHandshape,Straight,NA,Hand,HandAway,HandAway,0,1,0,0.392,0.266,0.039,0,0.153
ASL,tomato,n,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Mouth,NA,1,NA,0,7,AsymmetricalDifferentHandshape,Curved,NA,Hand,FingerTip,HandAway,1,O,0,0.392,0.266,0.046,0,0.153
ASL,dryer,n,7,i,FullyOpen,NA,Closed,OneHanded,Straight,Head,Chin,HeadAway,1,NA,0,7,OneHanded,Circular,NA,Neutral,Neutral,Neutral,0,NA,0,0.392,0.266,0.037,0.178,0.457
ASL,next_year,minor,1,imrp,FullyClosed,NA,Closed,AsymmetricalDifferentHandshape,Straight,Hand,FingerRadial,NA,1,1,0,9,AsymmetricalDifferentHandshape,Curved,NA,Neutral,Neutral,Neutral,0,S,0,0.175,0.25,0.035,0,0.457
ASL,water_ski,v,38,p,Curved,NA,Open,OneHanded,Straight,Head,Chin,NA,1,NA,0,9,AsymmetricalSameHandshape,None,NA,Neutral,Neutral,NA,0,bent_1,0,0.392,0.266,0.037,0,0.457
ASL,boyfriend,n,51,imrp,Flat,0,Open,OneHanded,None,Head,HeadAway,NA,0,NA,0,9,SymmetricalOrAlternating,Other,NA,Neutral,Neutral,Neutral,1,bent_1,1,0.392,0.266,0.066,0,0.153
ASL,obsess,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,13,AsymmetricalDifferentHandshape,Circular,NA,Hand,PalmBack,NA,1,C,0,0.392,0.266,0.039,0,0.153
ASL,think_obsess,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,13,AsymmetricalSameHandshape,Circular,NA,Hand,PalmBack,NA,1,open_8,0,0.392,0.266,0.039,0,0.153
ASL,birthday,n,13,m,Flat,NA,Open,OneHanded,None,Head,Chin,NA,1,NA,0,13,OneHanded,Straight,NA,Body,Clavicle,NA,1,NA,0,0.392,0.266,0.037,0,0.153
ASL,hummingbird,n,26,i,Flat,NA,Open,OneHanded,None,Head,Mouth,NA,1,NA,0,13,OneHanded,Circular,1,Head,HeadAway,HeadAway,0,NA,0,0.392,0.266,0.046,0,0.153
ASL,dislike,v,3,t,NA,NA,Open,OneHanded,Straight,Head,UnderChin,HeadAway,1,NA,0,14,OneHanded,Straight,NA,Body,TorsoTop,BodyAway,1,NA,0,0.392,0.266,0.006,0.178,0.457
ASL,dont_like,v,14,m,Flat,NA,Open,OneHanded,Straight,Body,TorsoTop,BodyAway,1,NA,0,14,OneHanded,None,NA,Neutral,Neutral,NA,0,NA,0,0.392,0.094,0.032,0.045,0.457
ASL,dog_4,n,49,imrp,FullyOpen,0,Open,OneHanded,Straight,Body,Hips,NA,1,NA,0,14,OneHanded,None,NA,Neutral,Neutral,NA,0,NA,0,0.392,0.094,0.004,0,0.457
ASL,sign_language,n,7,i,FullyOpen,NA,Closed,SymmetricalOrAlternating,Circular,Neutral,Neutral,Neutral,0,7,0,17,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,l,0,0.345,0.363,0.363,0.426,0.076
ASL,download,v,80,m,Curved,NA,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,7,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.457
ASL,project,n,64,im,Stacked,NA,Open,AsymmetricalDifferentHandshape,BackAndForth,Hand,FingerFront,FingerBack,1,49,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.015,0.01,0.026
ASL,brother,n,3,t,NA,NA,Open,OneHanded,None,Head,Forehead,NA,1,NA,0,17,AsymmetricalSameHandshape,Straight,NA,Hand,FingerRadial,NA,1,l,0,0.392,0.266,0.039,0,0.153
ASL,deaf_school,n,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Other,NA,0,NA,0,17,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,1,i,0,0.392,0.266,0.025,0,0.153
ASL,red_faced,adj,7,i,FullyOpen,NA,Closed,OneHanded,Straight,Head,Chin,HeadAway,1,NA,0,17,SymmetricalOrAlternating,Curved,NA,Head,HeadAway,HeadAway,0,l,0,0.392,0.266,0.037,0.178,0.457
ASL,sister,n,8,i,FullyOpen,NA,Open,OneHanded,None,Head,CheekNose,NA,1,NA,0,17,AsymmetricalSameHandshape,None,NA,Hand,FingerRadial,NA,1,l,0,0.392,0.266,0.035,0,0.153
ASL,envelope,n,49,imrp,FullyOpen,0,Open,OneHanded,Circular,Head,HeadAway,HeadAway,0,NA,0,17,SymmetricalOrAlternating,Other,NA,Neutral,Neutral,Neutral,0,l,0,0.392,0.266,0.066,0.178,0.076
ASL,pjs,n,64,im,Stacked,NA,Open,OneHanded,Curved,Neutral,Neutral,NA,0,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.233
ASL,pizza_2,n,64,im,Stacked,NA,Open,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457
ASL,dedicate_2,v,9,i,Bent,NA,Closed,SymmetricalOrAlternating,Curved,Neutral,Neutral,Neutral,0,9,0,19,SymmetricalOrAlternating,Curved,NA,Head,Forehead,HeadAway,1,h,0,0.345,0.363,0.363,0.426,0.233
ASL,tie_up_2,v,99,i,Curved,NA,Open,SymmetricalOrAlternating,Other,Neutral,Neutral,Neutral,1,44,0,19,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,1,h,0,0.345,0.363,0.363,0.426,0.017
ASL,spoon,n,19,im,FullyOpen,0,Closed,DominanceViolation,None,Hand,FingerFront,NA,1,DominanceConditionViolation,0,19,AsymmetricalSameHandshape,None,NA,Head,Mouth,NA,1,h,0,0.023,0.25,0.015,0,0.153
ASL,stamp,n,19,im,FullyOpen,0,Closed,DominanceViolation,None,Head,Mouth,NA,1,DominanceConditionViolation,0,19,AsymmetricalSameHandshape,None,NA,Hand,FingerBack,NA,1,h,0,0.023,0.266,0.046,0,0.153
ASL,mention,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Mouth,NA,1,NA,0,19,AsymmetricalSameHandshape,None,NA,Hand,FingerUlnar,NA,1,h,0,0.392,0.266,0.046,0,0.153
ASL,fun,adj,19,im,FullyOpen,0,Closed,OneHanded,None,Head,CheekNose,NA,1,NA,0,19,AsymmetricalSameHandshape,Straight,NA,Hand,FingerBack,NA,1,h,0,0.392,0.266,0.035,0,0.153
ASL,hard_of_hearing,adj,19,im,FullyOpen,0,Closed,OneHanded,Curved,Neutral,Neutral,Neutral,0,NA,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.233
ASL,thursday,name,25,i,Bent,NA,Open,OneHanded,None,Neutral,Neutral,NA,0,NA,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153
ASL,bus,n,48,imrp,FullyOpen,0,Closed,OneHanded,None,Neutral,Neutral,NA,0,NA,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153
ASL,peanut_butter,n,3,t,NA,NA,Open,OneHanded,Straight,Head,Mouth,HeadAway,1,NA,0,20,AsymmetricalDifferentHandshape,Straight,NA,Hand,Palm,Other,1,B,0,0.392,0.266,0.046,0.178,0.457
ASL,stethoscope_3,n,25,i,Bent,NA,Open,SymmetricalOrAlternating,Straight,Head,Other,NA,1,25,0,24,AsymmetricalSameHandshape,Straight,0,Neutral,Neutral,Neutral,1,curved_l,0,0.345,0.266,0.025,0,0.457
ASL,steak,n,46,i,Flat,NA,Open,AsymmetricalDifferentHandshape,None,Hand,PalmBack,NA,1,49,0,24,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,curved_l,0,0.175,0.25,0.024,0,0.153
ASL,clock,n,7,i,FullyOpen,NA,Closed,OneHanded,Straight,Arm,WristBack,NA,1,NA,0,24,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,curved_l,0,0.392,0.026,0.004,0,0.457
ASL,flashlight,n,14,m,Curved,NA,Open,OneHanded,None,Head,UnderChin,NA,1,NA,0,24,OneHanded,Curved,NA,Neutral,Neutral,Neutral,0,NA,0,0.392,0.266,0.006,0,0.153
ASL,dont_need,v,24,i,Curved,NA,Open,OneHanded,Straight,Head,UnderChin,HeadAway,1,NA,0,24,OneHanded,Straight,NA,Neutral,Neutral,Neutral,0,NA,0,0.392,0.266,0.006,0.178,0.457
ASL,firetruck,n,47,imrp,FullyOpen,1,Closed,OneHanded,Straight,Head,Forehead,NA,1,NA,0,24,SymmetricalOrAlternating,Straight,NA,Neutral,Neutral,Neutral,0,bent_l,0,0.392,0.266,0.039,0,0.457
ASL,undergraduate,adj,19,im,FullyOpen,0,Closed,AsymmetricalDifferentHandshape,Straight,Hand,FingerFront,Heel,1,49,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,0.25,0.015,0.005,0.457
ASL,blackbird,n,7,i,Flat,NA,Closed,OneHanded,Straight,Head,Forehead,HeadAway,1,NA,1,26,OneHanded,None,1,Head,Mouth,NA,1,NA,0,0.392,0.266,0.039,0.178,0.457
ASL,green_beans,n,26,i,Flat,NA,Open,OneHanded,None,Neutral,Neutral,NA,0,NA,1,26,AsymmetricalDifferentHandshape,BackAndForth,NA,Hand,FingerRadial,FingerRadial,1,1,0,0.392,0.363,0.363,0,0.153
ASL,pizza_cutter,n,10,i,Bent,NA,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,Neutral,0,10,0,27,AsymmetricalDifferentHandshape,Other,NA,Neutral,Neutral,Neutral,0,1,0,0.345,0.363,0.363,0.426,0.457
ASL,jacket_4,n,25,i,Bent,NA,Open,SymmetricalOrAlternating,Curved,Body,BodyAway,TorsoMid,1,25,1,27,AsymmetricalSameHandshape,Straight,0,Body,TorsoMid,TorsoTop,1,baby_o,0,0.345,0.094,0.016,0.01,0.233
ASL,stethoscope_2,n,25,i,Bent,NA,Open,SymmetricalOrAlternating,Straight,Head,Other,NA,1,25,0,27,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,NA,1,baby_o,0,0.345,0.266,0.025,0,0.457
ASL,papercutter,n,57,imrp,FullyOpen,1,Open,AsymmetricalSameHandshape,Curved,Hand,Palm,HandAway,1,57,0,27,AsymmetricalDifferentHandshape,Straight,NA,Hand,HandAway,HandAway,0,B,0,0.059,0.25,0.077,0.155,0.233
ASL,period,n,25,i,Bent,NA,Open,OneHanded,None,Head,Mouth,NA,1,NA,0,27,OneHanded,Straight,NA,Neutral,Neutral,Neutral,0,NA,0,0.392,0.266,0.046,0,0.153
ASL,revenge,n,25,i,Bent,NA,Open,OneHanded,None,Head,Mouth,NA,1,NA,0,27,AsymmetricalSameHandshape,BackAndForth,NA,Hand,FingerTip,HandAway,1,baby_o,0,0.392,0.266,0.046,0,0.153
ASL,witch_2,n,25,i,Bent,NA,Open,OneHanded,None,Head,CheekNose,NA,1,NA,0,27,AsymmetricalSameHandshape,Straight,0,Hand,FingerTip,NA,1,baby_o,0,0.392,0.266,0.035,0,0.153
ASL,tty,n,25,i,Bent,NA,Open,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457
ASL,fork_3,n,28,im,FullyOpen,1,Closed,AsymmetricalDifferentHandshape,None,Hand,Palm,NA,1,49,0,28,OneHanded,None,0,Head,HeadAway,NA,0,NA,0,0.175,0.25,0.077,0,0.153
ASL,predict,v,28,im,FullyOpen,1,Closed,AsymmetricalDifferentHandshape,None,Head,Eye,NA,1,49,0,28,AsymmetricalDifferentHandshape,Curved,NA,Hand,Other,Other,0,B,0,0.175,0.266,0.016,0,0.153
ASL,immerse,v,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,28,AsymmetricalDifferentHandshape,Straight,NA,Hand,FingerFront,FingerFront,1,C,0,0.392,0.266,0.039,0,0.153
ASL,intentional,adj,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,28,AsymmetricalDifferentHandshape,None,NA,Hand,Palm,Palm,1,B,0,0.392,0.266,0.039,0,0.153
ASL,half,n,7,i,FullyOpen,NA,Closed,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0.426,0.457
ASL,TV,n,25,i,Bent,NA,Open,OneHanded,None,Neutral,Neutral,NA,0,NA,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153
ASL,videocamera_2,n,29,im,FullyOpen,1,Open,OneHanded,None,Head,Eye,NA,1,NA,0,29,OneHanded,None,0,Neutral,Neutral,NA,0,NA,0,0.392,0.266,0.016,0,0.153
ASL,do_do,v,80,m,Curved,NA,Open,SymmetricalOrAlternating,None,Neutral,Neutral,NA,0,7,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0,0.153
ASL,hen,n,19,im,FullyOpen,0,Closed,OneHanded,None,Neutral,Neutral,NA,0,NA,1,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,0.363,0.363,0,0.153
ASL,goat,n,31,im,Bent,1,Closed,OneHanded,None,Head,Chin,NA,1,NA,0,31,OneHanded,None,NA,Head,Forehead,NA,1,NA,0,0.392,0.266,0.037,0,0.153
ASL,really_into,adj,31,im,Curved,1,Closed,OneHanded,None,Head,CheekNose,NA,1,NA,0,31,AsymmetricalDifferentHandshape,Straight,NA,Hand,HandAway,HandAway,0,C,0,0.392,0.266,0.035,0,0.153
ASL,forever,adv,7,i,FullyOpen,NA,Closed,OneHanded,None,Head,Forehead,NA,1,NA,0,34,OneHanded,Straight,NA,Head,HeadAway,HeadAway,0,NA,0,0.392,0.266,0.039,0,0.153
ASL,california,name,36,ip,Flat,NA,Open,OneHanded,None,Head,Other,NA,1,NA,0,34,OneHanded,Curved,NA,Neutral,Neutral,Neutral,0,NA,1,0.392,0.266,0.025,0,0.153
ASL,look_like,v,36,ip,FullyOpen,NA,Open,OneHanded,Circular,Head,HeadAway,HeadAway,0,NA,0,34,OneHanded,Straight,NA,Neutral,Neutral,Neutral,0,NA,0,0.392,0.266,0.066,0.178,0.076
ASL,blond,adj,36,ip,FullyOpen,NA,Open,OneHanded,None,Head,Other,NA,1,NA,0,34,OneHanded,Curved,NA,Neutral,Neutral,Neutral,0,NA,1,0.392,0.266,0.025,0,0.153
ASL,gold,n,36,ip,FullyOpen,NA,Open,OneHanded,None,Head,CheekNose,NA,1,NA,0,34,OneHanded,None,NA,Neutral,Neutral,NA,0,NA,0,0.392,0.266,0.035,0,0.153
