sign_id,Language,Gloss,LexcialClass,sign_category,sign type,non_manual,Handshape,Selected Hand Parts,Location,Movement,Movement old,Handshape change,NonDominantHandshape
LKA_009_e_0005,LKA - Sri Lanka,MINUTE,---,---,---,N,9,I:Tip,---,Straight,"Str,Dir:to(H2),Con",---,1
LKA_014_e_0001,LKA - Sri Lanka,THURSDAY,---,---,---,N,14,---,---,None,---,---,---
LKA_014_e_0002,LKA - Sri Lanka,BONE,---,---,---,N,14,---,---,None,---,---,---
VN1_009_e_0008,"VN1 - Ho Chi Minh City, Vietnam",OCTOBER,n,---,---,N,9,---,---,None,---,---,65
HKG_001_a_0001,HKG - Hong Kong,SUPPORT,v,Monomorphemic,OneHanded,N,1,Hand:Bk,---,BackAndForth,"Str,Rep(2),Uni",---,---
HKG_001_a_0002,HKG - Hong Kong,HIT,v:agr,Monomorphemic,OneHanded,N,1,Hand:Ant,---,Straight,"Str,Dir:to(X)",---,---
HKG_001_a_0003,HKG - Hong Kong,AGAIN,adv,Monomorphemic,OneHanded,N,1,"I,M:Tip",---,Straight,"Str,Dir:to(Z)",28,---
HKG_001_a_0004,HKG - Hong Kong,ALSO,conj,Bimorphemic,OneHanded,N,1,"I,M:Tip",---,Straight,"Str,Dir:to(Z)",28,---
HKG_001_a_0005,HKG - Hong Kong,BLOSSOM,v,Monomorphemic,OneHanded,N,1,Hand:Bk,---,None,---,57,---
HKG_001_a_0006,HKG - Hong Kong,GARDENER,n,Bimorphemic,OneHanded,N,1,Hand:Bk,---,None,---,57,---
HKG_001_a_0007,HKG - Hong Kong,ABANDON,v,Monomorphemic,OneHanded,N,1,"T,I,M,R,P:Tip",---,Straight,"Str,Dir:to(Y)",57,---
HKG_001_a_0008,HKG - Hong Kong,RUBBISH,n,Monomorphemic,OneHanded,N,1,"T,I,M,R,P:Tip",---,BackAndForth,"Str,Rep(2),Uni,Dir:to(Y)",57,---
HKG_001_a_0009,HKG - Hong Kong,KETTLE,n,Monomorphemic,OneHanded,N,1,Hand:Rad,---,Curved,Arc,---,---
HKG_001_a_0010,HKG - Hong Kong,VEGETABLE,n,Monomorphemic,OneHanded,N,1,Hand:Bk,---,Straight,"Str,Dir:fr(Y)",57,---
HKG_001_a_0011,HKG - Hong Kong,DETERMINE,v,Monomorphemic,OneHanded,N,1,Palm,---,Curved,"Arc,Pivot,Hold",---,---
HKG_001_a_0012a,HKG - Hong Kong,AGREE,v,Monomorphemic,OneHanded,N,1,Palm,---,None,---,---,---
HKG_001_a_0012b,HKG - Hong Kong,YES,interj,Monomorphemic,OneHanded,N,1,Palm,---,None,---,---,---
HKG_001_a_0013,HKG - Hong Kong,THROW A DICE,v,Monomorphemic,OneHanded,N,1,Hand:Uln,---,BackAndForth,"Bi,Dir:to(Z)",---,---
HKG_001_a_0014,HKG - Hong Kong,LIGHT BULB,n,Monomorphemic,OneHanded,N,1,"T,I,M,R,P:Tip",Head,None,---,57,---
HKG_001_a_0015,HKG - Hong Kong,FLUORESCENT LIGHT,n,Bimorphemic,OneHanded,N,1,"T,I,M,R,P:Tip",Head,None,---,57,---
HKG_001_a_0016,HKG - Hong Kong,BUS,n,Monomorphemic,OneHanded,N,1,Palm,Head,Other,Uni,---,---
HKG_001_a_0017,HKG - Hong Kong,BUS STOP,n,Bimorphemic,OneHanded,N,1,Palm,Head,BackAndForth,"Str,Rep(2),Uni",---,---
HKG_001_a_0018,HKG - Hong Kong,LOVE (SOMETHING) ARDENTLY,v,Monomorphemic,OneHanded,N,1,Hand:Bk,Nose,None,---,---,---
HKG_001_a_0019,HKG - Hong Kong,CLOSE (FRIENDS),adj,Bimorphemic,OneHanded,N,1,Hand:Bk,Nose,None,---,---,---
HKG_001_a_0021,HKG - Hong Kong,SING,v,Monomorphemic,OneHanded,N,1,Hand:Rad,Mouth,BackAndForth,"Bi,Trace",---,---
HKG_001_a_0022a,HKG - Hong Kong,INTERVIEW,v,Monomorphemic,OneHanded,N,1,Hand:Rad,Mouth,BackAndForth,"Str,Rep,Uni,Dir:fr(XB)",---,---
HKG_001_a_0022b,HKG - Hong Kong,REPORTER,n,Monomorphemic,OneHanded,N,1,Hand:Rad,Mouth,BackAndForth,"Str,Rep,Uni,Dir:fr(XB)",---,---
HKG_001_a_0023,HKG - Hong Kong,ICE CREAM CONE,n,Monomorphemic,OneHanded,N,1,Hand:Rad,Mouth,Other,"Uni,Dir:fr(XB)",---,---
HKG_001_a_0025,HKG - Hong Kong,(I) FARE MORE THAN (YOU) / MORE THAN (COMPARATIVE),v:agr,Monomorphemic,OneHanded,N,1,"T,I:Tip",---,Straight,"Str,Dir:to(X)",8,---
HKG_001_a_0026,HKG - Hong Kong,BAGGAGE,n,Monomorphemic,OneHanded,N,1,Palm,UpperLeg,Other,Uni,---,---
HKG_001_a_0027a,HKG - Hong Kong,HARD WORKING,adj,Monomorphemic,OneHanded,N,1,Forearm:Fr,Shoulder,Other,"Uni,Pivot,Dir:to(XB)",---,---
HKG_001_a_0027b,HKG - Hong Kong,WORK HARD,v,Monomorphemic,OneHanded,N,1,Forearm:Fr,Shoulder,Other,"Uni,Pivot,Dir:to(XB)",---,---
HKG_001_a_0028,HKG - Hong Kong,POWER,n,Monomorphemic,OneHanded,N,1,Forearm:Fr,Shoulder,Curved,"Arc,Pivot,Dir:to(XB)",---,---
HKG_001_a_0038,HKG - Hong Kong,ABILITY,n,Monomorphemic,OneHanded,N,1,Forearm:Fr,Shoulder,Curved,"Arc,Uni,Pivot,Dir:to(XB)",---,---
HKG_002_a_0001,HKG - Hong Kong,REMAIN UNCHANGED,adj,Monomorphemic,OneHanded,N,2,"T,I,M:Tip",---,None,---,32,---
HKG_002_a_0002,HKG - Hong Kong,FIRE,n,Monomorphemic,OneHanded,N,2,Hand:Bk,---,BackAndForth,"Str,Rep,Uni",58,---
HKG_002_a_0003,HKG - Hong Kong,VOLCANO,n,Bimorphemic,OneHanded,N,2,Hand:Bk,---,Straight,Str,58,---
HKG_002_a_0004,HKG - Hong Kong,KEROSENE,n,Bimorphemic,OneHanded,N,2,Hand:Bk,---,Straight,Str,58,---
HKG_002_a_0005,HKG - Hong Kong,TURKEY,n,Bimorphemic,OneHanded,N,2,Hand:Bk,---,Straight,Str,58,---
HKG_002_a_0006,HKG - Hong Kong,WHITE,adj,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",---,None,---,58,---
HKG_002_a_0007,HKG - Hong Kong,PAK CHOI,n,Bimorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",---,None,---,58,---
HKG_002_a_0008,HKG - Hong Kong,PERCENTAGE,n,Monomorphemic,OneHanded,N,2,Hand:Uln,Head,Straight,"Str,Trace",---,---
HKG_002_a_0009,HKG - Hong Kong,SHOOTING STAR,n,Monomorphemic,OneHanded,N,2,Hand:Bk,Head,,"Arc,Trace",---,---
HKG_002_a_0010,HKG - Hong Kong,BRIGHT,adj,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Head,None,---,57,---
HKG_002_a_0011,HKG - Hong Kong,SUN,n,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Head,BackAndForth,"Str,Rep(2),Uni",57,---
HKG_002_a_0012,HKG - Hong Kong,FORGET,v,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Forehead,Curved,"Arc,Dir:fr(XB)",57,---
HKG_002_a_0012a,HKG - Hong Kong,FORGET,v,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Forehead,Curved,"Arc,Dir:fr(XB)",57,---
HKG_002_a_0012b,HKG - Hong Kong,FORGET,v,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Forehead,Curved,"Arc,Dir:fr(XB)",57,---
HKG_002_a_0013,HKG - Hong Kong,METHOD,n,Monomorphemic,OneHanded,N,2,Hand:Bk,Head,BackAndForth,"Str,Rep(2),Uni,Dir:fr(XB)",57,---
HKG_002_a_0013a,HKG - Hong Kong,SUGGEST,v,Monomorphemic,OneHanded,N,2,Hand:Bk,Head,BackAndForth,"Str,Rep(2),Uni,Dir:fr(XB)",57,---
HKG_002_a_0013b,HKG - Hong Kong,METHOD,n,Monomorphemic,OneHanded,N,2,Hand:Bk,Head,BackAndForth,"Str,Rep(2),Uni,Dir:fr(XB)",57,---
HKG_002_a_0014,HKG - Hong Kong,INVENT,v,Monomorphemic,OneHanded,N,2,Hand:Bk,Head,Straight,"Str,Dir:fr(XB)",57,---
HKG_002_a_0015,HKG - Hong Kong,WHAT ELSE CAN (ONE) DO?,interj,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Head,None,---,58,---
HKG_002_a_0016,HKG - Hong Kong,SPARKLE,v,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Eye,None,---,58,---
HKG_002_a_0017,HKG - Hong Kong,MUSTARD,n,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Nose,Straight,"Str,Dir:fr(XB)",58,---
HKG_002_a_0018,HKG - Hong Kong,SPEAK,v,Monomorphemic,OneHanded,N,2,Hand:Bk,Mouth,None,---,58,---
HKG_002_a_0018a,HKG - Hong Kong,SPEAK,v,Monomorphemic,OneHanded,N,2,Hand:Bk,Mouth,None,---,58,---
HKG_002_a_0018b,HKG - Hong Kong,TALK,v,Monomorphemic,OneHanded,N,2,Hand:Bk,Mouth,None,---,58,---
HKG_002_a_0019,HKG - Hong Kong,SEND REGARDS TO,v,Monomorphemic,OneHanded,N,2,Hand:Bk,Mouth,BackAndForth,"Str,Rep(2),Uni,Dir:fr(XB)",57,---
HKG_002_a_0020,HKG - Hong Kong,ASK,v:agr,Monomorphemic,OneHanded,N,2,Hand:Bk,Mouth,Straight,"Str,Dir:fr(XB)",57,---
HKG_002_a_0020a,HKG - Hong Kong,ASK,v:agr,Monomorphemic,OneHanded,N,2,Hand:Bk,Mouth,Straight,"Str,Dir:fr(XB)",57,---
HKG_002_a_0020b,HKG - Hong Kong,SAY,v:agr,Monomorphemic,OneHanded,N,2,Hand:Bk,Mouth,Straight,"Str,Dir:fr(XB)",57,---
HKG_002_a_0020c,HKG - Hong Kong,TELL,v:agr,Monomorphemic,OneHanded,N,2,Hand:Bk,Mouth,Straight,"Str,Dir:fr(XB)",57,---
HKG_002_a_0020d,HKG - Hong Kong,CALL,v:agr,Monomorphemic,OneHanded,N,2,Hand:Bk,Mouth,Straight,"Str,Dir:fr(XB)",57,---
HKG_002_a_0021,HKG - Hong Kong,PAGER,n,Monomorphemic,OneHanded,N,2,Hand:Bk,---,None,---,58,---
HKG_002_a_0038,HKG - Hong Kong,HEATSTROKE,v,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Head,Straight,"Str,Dir:to(XB)",57,---
HKG_002_a_0039,HKG - Hong Kong,SUNGLASSES,n,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Head,Straight,"Str,Dir:to(XB)",57,---
HKG_002_a_0040,HKG - Hong Kong,APPEAR,v,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Eye,Straight,"Str,Dir:to(XB)",57,---
HKG_002_a_0041a,HKG - Hong Kong,THROW AWAY,v,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",---,Straight,"Str,Dir:to(Y)",57,---
HKG_002_a_0041b,HKG - Hong Kong,THROW AWAY/DUMP/DISCARD,v,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",---,Straight,"Str,Dir:to(Y)",57,---
HKG_002_a_0041c,HKG - Hong Kong,GARBAGE,n,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",---,BackAndForth,"Str,Rep,Uni,Dir:to(Y)",57,---
HKG_002_a_0042,HKG - Hong Kong,ARIES,n,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",---,None,---,58,---
HKG_002_a_0043,HKG - Hong Kong,BRIGHT COLOR,adj,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",---,Straight,"Str,Dir:fr(X)",58,---
HKG_002_a_0044,HKG - Hong Kong,VASE,n,Monomorphemic,OneHanded,N,2,Hand:Bk,---,None,---,57,---
HKG_002_a_0045,HKG - Hong Kong,UNEXPECTED,adv,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Cheek,Straight,"Str,Dir:fr(XB)",57,---
HKG_002_a_0046,HKG - Hong Kong,SUNNY,adj,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Head,Straight,"Str,Dir:to(XB)",57,---
HKG_002_a_0047,HKG - Hong Kong,STRONG SUNLIGHT,adj,Monomorphemic,OneHanded,N,2,"T,I,M,R,P:Tip",Head,Straight,"Str,Dir:to(XB),Hold",57,---
HKG_002_a_0048,HKG - Hong Kong,VEGETABLE,n,Monomorphemic,OneHanded,N,2,Hand:Bk,---,BackAndForth,"Str,Rep,Uni,Dir:fr(Y)",58,---
HKG_002_a_0049a,HKG - Hong Kong,SHINY,adj,Monomorphemic,OneHanded,N,2,Hand:Bk,---,Straight,"Str,Uni",57,---
HKG_002_a_0049b,HKG - Hong Kong,SHINE,v,Monomorphemic,OneHanded,N,2,Hand:Bk,---,Straight,"Str,Uni",57,---
HKG_002_a_0050,HKG - Hong Kong,FLOWER,n,Monomorphemic,OneHanded,N,2,Hand:Bk,---,None,---,57,---
HKG_002_a_0051,HKG - Hong Kong,BLOSSOM,v,Monomorphemic,OneHanded,N,2,Hand:Bk,---,None,---,57,---
HKG_002_a_0052,HKG - Hong Kong,DEEP FRY,v,Monomorphemic,OneHanded,N,2,Hand:Bk,---,None,---,57,---
HKG_003_a_0001a,HKG - Hong Kong,STUPID,adj,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",Forehead,Straight,"Str,Dir:to(XB),Con",---,---
HKG_003_a_0001b,HKG - Hong Kong,SILLY,adj,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",Forehead,None,---,---,---
HKG_003_a_0002,HKG - Hong Kong,DIFFICULT,adj,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",Forehead,None,---,---,---
HKG_003_a_0003,HKG - Hong Kong,OLD,adj,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",Cheek,Straight,"Str,Trace",---,---
HKG_003_a_0004,HKG - Hong Kong,GRANDFATHER,n,Bimorphemic,OneHanded,N,3,"I,M,R,P:Bk",Cheek,Straight,"Str,Trace",---,---
HKG_003_a_0005,HKG - Hong Kong,GRANDMOTHER,n,Bimorphemic,OneHanded,N,3,"I,M,R,P:Bk",Cheek,Straight,"Str,Trace",---,---
HKG_003_a_0006,HKG - Hong Kong,HYPEROPIA,n,Bimorphemic,OneHanded,N,3,"I,M,R,P:Bk",Cheek,Straight,"Str,Trace",---,---
HKG_003_a_0008,HKG - Hong Kong,ALIVE,adj,Bimorphemic,OneHanded,N,3,T:Rad,Cheek,None,---,---,---
HKG_003_a_0009,HKG - Hong Kong,FOREVER,adv,Monomorphemic,OneHanded,N,3,T:Bk,Chin,Straight,"Str,Dir:fr(XB)",8,---
HKG_003_a_0010,HKG - Hong Kong,UPSET/CROSSED,adj,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",Torso,None,---,---,---
HKG_003_a_0011a,HKG - Hong Kong,TIRED,adj,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",UpperArm,None,---,---,---
HKG_003_a_0011b,HKG - Hong Kong,TIRING,adj,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",UpperArm,None,---,---,---
HKG_003_a_0012,HKG - Hong Kong,REWARD/PAY (SB.) SALARY,v,Bimorphemic,OneHanded,N,3,"I,M,R,P:Bk",UpperArm,None,---,---,---
HKG_003_a_0023,HKG - Hong Kong,ELDERLY HOME,n,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",Cheek,Straight,"Str,Trace",---,---
HKG_003_a_0024,HKG - Hong Kong,ALZHEIMER DISEASE,n,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",Cheek,Straight,"Str,Trace",---,---
HKG_003_a_0025,HKG - Hong Kong,DECREPIT,adj,Monomorphemic,OneHanded,N,3,"I,M,R,P:Bk",Cheek,Straight,"Str,Trace",---,---
HKG_004_a_0001a,HKG - Hong Kong,FAIL,v,Monomorphemic,OneHanded,N,4,T:Tip,---,Other,"Uni,Pivot",---,---
HKG_004_a_0001b,HKG - Hong Kong,LOSE (A GAME OR A DISCUSSION),v,Monomorphemic,OneHanded,N,4,T:Tip,---,Other,"Uni,Pivot",---,---
HKG_004_a_0001c,HKG - Hong Kong,FAIL,adj,Monomorphemic,OneHanded,N,4,T:Tip,---,Other,Pivot,---,---
HKG_004_a_0002,HKG - Hong Kong,AS USUAL,adv,Monomorphemic,OneHanded,N,4,Hand:Uln,---,Straight,"Str,Dir:to(Y)",---,---
HKG_004_a_0003,HKG - Hong Kong,THANK (YOU),v:agr,Monomorphemic,OneHanded,N,4,T:Fr,---,None,---,---,---
HKG_004_a_0004,HKG - Hong Kong,GOOD,adj,Monomorphemic,OneHanded,N,4,T:Fr,---,None,---,---,---
HKG_004_a_0005,HKG - Hong Kong,CAN-NOT-CAN,---,Monomorphemic,OneHanded,N,4,Hand:Bk,---,None,---,Rep;4>17,---
HKG_004_a_0005a,HKG - Hong Kong,CAN-NOT-CAN,que,Monomorphemic,OneHanded,N,34,Hand:Bk,---,None,---,Rep;4>17,---
HKG_004_a_0005b,HKG - Hong Kong,RIGHT-NOT-RIGHT,que,Monomorphemic,OneHanded,N,4,Hand:Bk,---,None,---,Rep;4>17,---
HKG_004_a_0007,HKG - Hong Kong,"MIXED (QUALITIES, ABILITIES...)/VARYING (QUALITIES, ABILITIES…)",adj,Monomorphemic,OneHanded,N,4,Hand:Bk,---,Straight,"Str,Trace",Rep;4>17,---
HKG_004_a_0008a,HKG - Hong Kong,APPROVE,v,Monomorphemic,OneHanded,N,4,Hand:Uln,---,Straight,"Str,Dir:fr(Y)",---,---
HKG_004_a_0008b,HKG - Hong Kong,WIN,v,Monomorphemic,OneHanded,N,4,Hand:Uln,---,Straight,"Str,Dir:fr(Y)",---,---
HKG_004_a_0009,HKG - Hong Kong,ALL (WITHOUT EXCEPTION),adv,Monomorphemic,OneHanded,N,4,Hand:Uln,---,Straight,"Str,Trace,Hold",---,---
HKG_004_a_0010,HKG - Hong Kong,PROUD,adj,Monomorphemic,OneHanded,N,4,T:Fr,Nose,Straight,"Str,Dir:fr(XB)",---,---
HKG_004_a_0011,HKG - Hong Kong,HEARING,adj,Monomorphemic,OneHanded,N,4,T:Rad,Ear,None,---,---,---
HKG_004_a_0012,HKG - Hong Kong,FATHER,n,Monomorphemic,OneHanded,N,4,T:Rad,Mouth,BackAndForth,"Str,Rep(2),Uni,Pivot,Dir:to(XB),Con",---,---
HKG_004_a_0013,HKG - Hong Kong,FAMILY,n,Polymorphemic,OneHanded,N,4,T:Rad,Mouth,None,---,---,---
HKG_004_a_0014,HKG - Hong Kong,PARENTS,n,Bimorphemic,OneHanded,N,4,T:Rad,Mouth,None,---,---,---
HKG_004_a_0015,HKG - Hong Kong,STAY STRONG,adj,Monomorphemic,OneHanded,N,4,"I,M,R,P:Bk",Torso,None,---,---,---
HKG_004_a_0016,HKG - Hong Kong,ENOUGH,adj,Monomorphemic,OneHanded,N,4,"I,M,R,P:Bk",Torso,Other,Con,---,---
HKG_004_a_0017,HKG - Hong Kong,TEACHER,n,Monomorphemic,OneHanded,N,4,"I,M,R,P:Bk",Torso,BackAndForth,"Arc,Rep(2),Uni,BrushCon",---,---
HKG_004_a_0018b,HKG - Hong Kong,BOSS,n,Monomorphemic,OneHanded,N,4,T:Tip,Torso,Curved,Arc,---,---
HKG_004_a_0019,HKG - Hong Kong,HANDBAG,n,Monomorphemic,OneHanded,N,4,T:Bk,Torso,BackAndForth,"Str,Rep(2),Uni,Trace",---,---
HKG_004_a_0036,HKG - Hong Kong,FATHER'S DAY,n,Monomorphemic,OneHanded,N,4,T:Rad,Mouth,BackAndForth,"Str,Rep(2),Uni,Pivot,Dir:to(XB),Con",---,---
HKG_004_a_0037,HKG - Hong Kong,PUSH A BUTTON,v,Monomorphemic,OneHanded,N,4,T:Fr,---,Straight,"Str,Dir:to(X),Hold",---,---
HKG_004_a_0038,HKG - Hong Kong,STAPLER,n,Monomorphemic,OneHanded,N,4,T:Fr,---,None,---,3,---
HKG_004_a_0039,HKG - Hong Kong,HIGH-CLASS,adj,Monomorphemic,OneHanded,N,4,T:Tip,---,Straight,"Str,Dir:fr(Y),Hold",---,---
HKG_004_a_0040,HKG - Hong Kong,KNOW HOW,v,Monomorphemic,OneHanded,N,4,T:Rad,---,BackAndForth,"Bi,Pivot",---,---
HKG_005_a_0001,HKG - Hong Kong,FAST,adv,Monomorphemic,OneHanded,N,5,I:Tip,---,Straight,"Str,Dir:to(Z),Hold",---,---
HKG_005_a_0002a,HKG - Hong Kong,EASY,adj,Monomorphemic,OneHanded,N,5,Hand:Bk,---,None,---,---,---
HKG_005_a_0002b,HKG - Hong Kong,SIMPLE,adj,Monomorphemic,OneHanded,N,5,Hand:Bk,---,None,---,---,---
HKG_005_a_0002c,HKG - Hong Kong,CONVENIENT,adj,Monomorphemic,OneHanded,N,5,Hand:Bk,---,None,---,---,---
HKG_005_a_0003,HKG - Hong Kong,TORCH,n,Monomorphemic,OneHanded,N,5,T:Bk,---,None,---,3,---
HKG_005_a_0004,HKG - Hong Kong,STAB,v:agr,Monomorphemic,OneHanded,N,5,Hand:Rad,---,Straight,"Str,Dir:to(X)",---,---
HKG_005_a_0006,HKG - Hong Kong,PLAY TENNIS,v,Monomorphemic,OneHanded,N,5,Palm,---,Curved,"Arc,Uni",---,---
HKG_005_a_0007,HKG - Hong Kong,MARBLE,n,Monomorphemic,OneHanded,N,5,T:Bk,---,None,---,3,---
HKG_005_a_0008,HKG - Hong Kong,SET ABOUT A WICKED IDEA,v,Monomorphemic,OneHanded,N,5,I:Bk,---,None,---,4,---
HKG_005_a_0009,HKG - Hong Kong,NEAR/CLOSE,adj,Monomorphemic,OneHanded,N,5,I:Bk,---,BackAndForth,Bi,---,---
HKG_005_a_0010a,HKG - Hong Kong,LOCK,v,Monomorphemic,OneHanded,N,5,I:Bk,---,None,---,---,---
HKG_005_a_0010b,HKG - Hong Kong,UNLOCK,v,Monomorphemic,OneHanded,N,5,I:Bk,---,None,---,---,---
HKG_005_a_0011,HKG - Hong Kong,KEY,n,Monomorphemic,OneHanded,N,5,I:Bk,---,None,---,---,---
HKG_005_a_0012,HKG - Hong Kong,BADMINTON,n,Monomorphemic,OneHanded,N,5,Hand:Rad,Head,BackAndForth,"Arc,Rep,Uni,Pivot",---,---
HKG_005_a_0013,HKG - Hong Kong,CAP,n,Monomorphemic,OneHanded,N,5,T:Bk,Head,Straight,"Str,Dir:to(XB)",---,---
HKG_005_a_0014,HKG - Hong Kong,COMB,n,Monomorphemic,OneHanded,N,5,"I,M,R,P:Bk",Head,Other,"Uni,Trace",---,---
HKG_005_a_0015,HKG - Hong Kong,DETECTIVE,n,Monomorphemic,OneHanded,N,5,T:Bk,Eye,None,---,---,---
HKG_005_a_0016,HKG - Hong Kong,FAN,n,Monomorphemic,OneHanded,N,5,T:Bk,Torso,None,---,---,---
HKG_005_a_0017,HKG - Hong Kong,FEMALE,n,Monomorphemic,OneHanded,N,5,"T,I:Fr",Ear,None,---,---,---
HKG_005_a_0018,HKG - Hong Kong,BUDDHIST NUN,n,Bimorphemic,OneHanded,N,5,"T,I:Fr",Ear,None,---,---,---
HKG_005_a_0019,HKG - Hong Kong,QUEEN,n,Bimorphemic,OneHanded,N,5,"T,I:Fr",Ear,None,---,---,---
HKG_005_a_0020,HKG - Hong Kong,FEMALE SECRETION,n,Bimorphemic,OneHanded,N,5,"T,I:Fr",Ear,None,---,---,---
HKG_005_a_0021,HKG - Hong Kong,EAGLE,n,Monomorphemic,OneHanded,N,5,Hand:Bk,Mouth,None,---,---,---
HKG_005_a_0022,HKG - Hong Kong,CONGEE,n,Monomorphemic,OneHanded,N,5,Hand:Rad,Mouth,None,---,---,---
HKG_005_a_0023,HKG - Hong Kong,SPOON,n,Monomorphemic,OneHanded,N,5,Hand:Rad,Mouth,None,---,---,---
HKG_005_a_0024,HKG - Hong Kong,ICE LOLLY,n,Monomorphemic,OneHanded,N,5,T:Bk,Chin,Other,"Uni,Trace",---,---
HKG_005_a_0031,HKG - Hong Kong,ACCESSIBLE IN A SHORT TIME,adj,Monomorphemic,OneHanded,N,5,T:Tip,---,Straight,"Str,Dir:fr(Y)",4,---
HKG_005_a_0032,HKG - Hong Kong,FAST FOOD,n,Monomorphemic,OneHanded,N,5,I:Tip,---,Straight,"Str,Dir:to(Z),Hold",---,---
HKG_005_a_0033,HKG - Hong Kong,CUTTER,n,Monomorphemic,OneHanded,N,5,T:Tip,---,None,---,3,---
HKG_005_a_0034,HKG - Hong Kong,SOUP,n,Monomorphemic,OneHanded,N,5,Hand:Rad,---,None,---,---,---
HKG_006_a_0001,HKG - Hong Kong,HALF,n,Monomorphemic,OneHanded,N,6,Hand:Ant,---,None,---,---,---
HKG_006_a_0002a,HKG - Hong Kong,NURSE,n,Monomorphemic,OneHanded,N,6,T:Bk,Forehead,None,---,---,---
HKG_006_a_0002b,HKG - Hong Kong,NURSE,n,Monomorphemic,OneHanded,N,6,T:Bk,Forehead,None,---,---,---
HKG_006_a_0002c,HKG - Hong Kong,NURSE,n,Monomorphemic,OneHanded,N,6,T:Bk,Forehead,None,---,---,---
HKG_006_a_0003,HKG - Hong Kong,AMBULANCE,n,Bimorphemic,OneHanded,N,6,T:Bk,Forehead,None,---,---,---
HKG_006_a_0004,HKG - Hong Kong,HOSPITAL,n,Bimorphemic,OneHanded,N,6,T:Bk,Forehead,None,---,---,---
HKG_006_a_0005,HKG - Hong Kong,OIL,n,Monomorphemic,OneHanded,N,6,T:Bk,Nose,Other,Trace,---,---
HKG_006_a_0006,HKG - Hong Kong,PETROL,n,Bimorphemic,OneHanded,N,6,T:Bk,Nose,Other,Trace,---,---
HKG_006_a_0007,HKG - Hong Kong,PAINT,n,Bimorphemic,OneHanded,N,6,T:Bk,Nose,Other,Trace,---,---
HKG_006_a_0008,HKG - Hong Kong,OIL PAINTING,n,Bimorphemic,OneHanded,N,6,T:Bk,Nose,Other,Trace,---,---
HKG_006_a_0009,HKG - Hong Kong,GREY,n,Monomorphemic,OneHanded,N,6,T:Bk,UpperArm,BackAndForth,"Str,Rep,Uni,Dir:to(XB),Con",---,---
HKG_006_a_0016,HKG - Hong Kong,SWITZERLAND,n,Monomorphemic,OneHanded,N,6,T:Bk,UpperArm,BackAndForth,"Str,Rep,Uni,Dir:to(XB),Con",---,---
HKG_007_a_0002,HKG - Hong Kong,ONE,num,Monomorphemic,OneHanded,N,7,I:Bk,---,None,---,---,---
HKG_007_a_0003,HKG - Hong Kong,ONE HUNDRED,num,Monomorphemic,OneHanded,N,7,I:Uln,---,None,---,---,---
HKG_007_a_0004,HKG - Hong Kong,ONE THOUSAND,num,Monomorphemic,OneHanded,N,7,I:Tip,---,Straight,"Str,Trace",---,---
HKG_007_a_0005,HKG - Hong Kong,TEN THOUSAND,num,Monomorphemic,OneHanded,N,7,Hand:Bk,---,Curved,Arc,---,---
HKG_007_a_0006,HKG - Hong Kong,ONE HUNDRED MILLION,num,Bimorphemic,OneHanded,N,7,I:Fr,---,None,---,---,---
HKG_007_a_0007,HKG - Hong Kong,ABOVE,postp,Monomorphemic,OneHanded,N,7,Palm:He,---,Other,"Uni,Dir:fr(Y)",---,---
HKG_007_a_0008a,HKG - Hong Kong,BELOW,postp,Monomorphemic,OneHanded,N,7,I:Tip,---,Other,"Uni,Dir:to(Y)",---,---
